utc,lat,lon,dep
2010-02-22T05:05:50.740000Z,60.6512,-143.0161,30.61
2010-02-22T07:33:58.380000Z,60.4619,-143.2318,14.63
2010-02-22T07:35:22.310000Z,60.4528,-143.2769,15.45
2010-02-22T11:14:28.290000Z,60.0173,-141.6059,27.58
2010-02-22T11:56:36.660000Z,61.3946,-140.2525,1.13
2010-02-22T13:42:30.660000Z,60.39,-141.3491,24.38
2010-02-22T21:04:52.050000Z,60.3927,-142.2582,10.69
2010-02-23T00:53:41.660000Z,60.2185,-140.8255,10.58
2010-02-23T00:59:23.010000Z,60.234,-140.8992,9.57
2010-02-23T01:17:13.350000Z,60.2172,-140.8721,10.99
2010-02-23T03:57:44.600000Z,60.2121,-141.6872,13.74
2010-02-23T06:03:38.300000Z,60.2347,-140.9303,10.1
2010-02-23T06:30:21.130000Z,60.1971,-140.8279,15.02
2010-02-23T07:12:51.320000Z,60.7712,-142.3678,82.73
2010-02-23T08:55:16.710000Z,60.2721,-140.0893,15.0
2010-02-23T15:06:22.830000Z,59.8363,-141.7216,21.11
2010-02-23T21:10:14.330000Z,60.4684,-141.6875,20.18
2010-02-24T03:08:40.600000Z,59.9517,-141.5067,10.66
2010-02-24T09:59:56.960000Z,59.9993,-141.3823,11.71
2010-02-24T18:45:40.110000Z,60.2799,-141.6449,15.82
2010-02-24T20:15:29.990000Z,60.4854,-142.3571,57.99
2010-02-24T20:58:35.260000Z,59.9106,-141.8455,12.16
2010-02-24T21:56:55.780000Z,59.8496,-141.433,14.33
2010-02-24T23:21:49.390000Z,60.6853,-143.4962,15.0
2010-02-24T23:58:09.800000Z,59.8856,-141.001,15.56
2010-02-25T02:01:03.910000Z,60.1738,-141.5848,20.37
2010-02-25T02:08:17.890000Z,60.3457,-142.0008,11.86
2010-02-25T03:30:21.000000Z,61.5891,-140.4178,10.23
2010-02-25T04:53:00.500000Z,59.9341,-141.8176,7.43
2010-02-25T05:40:56.580000Z,59.9756,-141.6595,2.94
2010-02-25T07:44:21.610000Z,60.9582,-143.5919,15.0
2010-02-25T12:15:34.340000Z,61.4977,-140.7925,3.83
2010-02-25T13:00:29.160000Z,60.2795,-141.2009,12.2
2010-02-25T14:01:20.870000Z,61.8103,-141.3877,4.93
2010-02-25T14:56:10.720000Z,60.0296,-141.3337,21.18
2010-02-25T15:23:41.700000Z,60.1451,-141.1665,18.59
2010-02-25T15:40:56.750000Z,60.3759,-140.7153,15.0
2010-02-25T16:38:38.670000Z,61.7634,-141.859,0.0
2010-02-25T20:13:47.890000Z,60.472,-142.917,13.43
2010-02-26T06:36:18.300000Z,60.357,-141.8674,13.17
2010-02-26T07:42:22.550000Z,59.8443,-141.4113,15.88
2010-02-26T07:46:29.480000Z,59.8493,-141.507,25.04
2010-02-26T11:05:26.890000Z,61.5113,-140.6042,20.09
2010-02-26T14:00:01.590000Z,60.8004,-142.0183,44.62
2010-02-27T09:40:53.860000Z,60.7615,-143.0327,50.54
2010-02-27T10:28:35.940000Z,60.4218,-141.909,0.01
2010-02-27T17:54:16.370000Z,60.2048,-140.8699,15.0
2010-02-28T00:39:03.810000Z,61.1075,-143.6922,17.92
2010-02-28T07:27:32.860000Z,60.2409,-140.9356,18.8
2010-02-28T13:53:24.390000Z,61.0628,-143.0776,28.01
2010-03-01T07:23:20.960000Z,60.2297,-141.7028,14.23
2010-03-02T03:00:46.040000Z,60.1256,-141.6179,20.3
2010-03-03T11:52:45.970000Z,60.1435,-140.8014,24.52
2010-03-03T13:26:23.910000Z,60.5672,-142.3525,24.55
2010-03-03T16:33:14.120000Z,60.1977,-141.7448,13.81
2010-03-04T13:47:11.040000Z,59.9417,-141.4179,5.28
2010-03-04T20:13:19.050000Z,60.2928,-141.9373,12.87
2010-03-04T20:15:41.050000Z,60.2935,-141.9372,13.25
2010-03-05T03:24:27.050000Z,60.1947,-141.7384,12.23
2010-03-05T16:44:56.430000Z,60.1973,-141.749,12.57
2010-03-06T17:38:43.130000Z,60.0916,-141.6165,12.51
2010-03-07T00:20:53.280000Z,60.2218,-140.9675,8.42
2010-03-07T01:59:24.280000Z,60.6556,-143.1872,46.87
2010-03-07T10:42:06.220000Z,61.3167,-141.0518,15.0
2010-03-07T14:23:13.080000Z,59.9393,-141.398,13.55
2010-03-07T22:26:39.690000Z,61.197,-143.4979,38.32
2010-03-09T12:49:03.740000Z,60.1921,-141.6234,14.7
2010-03-09T17:06:13.130000Z,60.9357,-143.4261,34.3
